OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.0,0.075,1.1472241878509521
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.075,0.2224999999999999,-4.662471140854508*(x-0.075)*(x-0.075)*(x-0.075)+6.991636487427369*(x-0.075)*(x-0.075)-1.758219100516426*(x-0.075)+1.1472241878509521
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.2224999999999999,0.3425,-119.1539620911632*(x-0.22249999999999998)*(x-0.22249999999999998)*(x-0.22249999999999998)+21.447713176409383*(x-0.22249999999999998)*(x-0.22249999999999998)+0.0*(x-0.22249999999999998)+1.0250365734100342
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.3425,0.45,139.78123216548548*(x-0.3425)*(x-0.3425)*(x-0.3425)-22.539723686684532*(x-0.3425)*(x-0.3425)+0.0*(x-0.3425)+1.1279855966567993
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.45,0.5725,-2.8023753306312633*(x-0.45)*(x-0.45)*(x-0.45)+0.5149364670034946*(x-0.45)*(x-0.45)+0.0*(x-0.45)+1.0411607027053833
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.5725,0.7075,15.804354921501895*(x-0.5725)*(x-0.5725)*(x-0.5725)-3.200381871604134*(x-0.5725)*(x-0.5725)+0.0*(x-0.5725)+1.043736457824707
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.7075,0.8300000000000001,-3.8310067346779353*(x-0.7075)*(x-0.7075)*(x-0.7075)+0.7039474874970709*(x-0.7075)*(x-0.7075)+0.0*(x-0.7075)+1.024294137954712
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.8300000000000001,0.885,441.64005569011056*(x-0.8300000000000001)*(x-0.8300000000000001)*(x-0.8300000000000001)-36.43530459443408*(x-0.8300000000000001)*(x-0.8300000000000001)+0.0*(x-0.8300000000000001)+1.027815341949463
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.885,0.895,-89203.82612344316*(x-0.885)*(x-0.885)*(x-0.885)+1509.1984623071241*(x-0.885)*(x-0.885)+0.0*(x-0.885)+0.9910764098167419
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.895,0.905,-13133.636647430169*(x-0.895)*(x-0.895)*(x-0.895)+25.86347925597707*(x-0.895)*(x-0.895)+3.4228214091095155*(x-0.895)+1.0527924299240112
