OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.3525,0.465,-1.2227125128600826*(x-0.35250000000000004)*(x-0.35250000000000004)*(x-0.35250000000000004)+0.2063327365451389*(x-0.35250000000000004)*(x-0.35250000000000004)+0.0*(x-0.35250000000000004)+1.0820972919464111
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.465,0.5925,12.428439051140137*(x-0.465)*(x-0.465)*(x-0.465)-3.1134674721510143*(x-0.465)*(x-0.465)+0.0*(x-0.465)+1.082967758178711
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.5925,0.7250000000000001,9.93530649528962*(x-0.5925)*(x-0.5925)*(x-0.5925)-1.265907190756858*(x-0.5925)*(x-0.5925)-0.18781476842321812*(x-0.5925)+1.0581145286560059
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.7250000000000001,0.835,-27.2268254011194*(x-0.7250000000000001)*(x-0.7250000000000001)*(x-0.7250000000000001)+4.778883330224673*(x-0.7250000000000001)*(x-0.7250000000000001)+0.0*(x-0.7250000000000001)+1.0341160297393799
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.835,0.885,-7.786995763505442*(x-0.835)*(x-0.835)*(x-0.835)-0.046181023625039674*(x-0.835)*(x-0.835)+0.06302057058879489*(x-0.835)+1.0557016134262085
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.885,0.895,449199.43809509155*(x-0.885)*(x-0.885)*(x-0.885)-6737.991571426379*(x-0.885)*(x-0.885)+0.0*(x-0.885)+1.0577638149261475
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.895,0.905,-448394.1515728009*(x-0.895)*(x-0.895)*(x-0.895)+6903.298815532697*(x-0.895)*(x-0.895)+0.0*(x-0.895)+0.8331640958786011
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.905,0.915,-2806.993369677126*(x-0.905)*(x-0.905)*(x-0.905)-135.28164139551959*(x-0.905)*(x-0.905)+3.5477308388135333*(x-0.905)+1.0750998258590698
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.915,0.925,370772.3617553701*(x-0.915)*(x-0.915)*(x-0.915)-5561.585426330556*(x-0.915)*(x-0.915)+0.0*(x-0.915)+1.094241976737976
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.925,0.935,-268979.6800739916*(x-0.925)*(x-0.925)*(x-0.925)+4063.6671735121326*(x-0.925)*(x-0.925)+0.0*(x-0.925)+0.9088557958602905
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.935,0.945,-124.82358290354411*(x-0.935)*(x-0.935)*(x-0.935)-27.099618658702205*(x-0.935)*(x-0.935)+0.5794394480451011*(x-0.935)+1.0462428331375122
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.945,0.955,203924.6559143061*(x-0.945)*(x-0.945)*(x-0.945)-3058.869838714594*(x-0.945)*(x-0.945)+0.0*(x-0.945)+1.0492024421691895
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.955,0.965,-35535.79996857043*(x-0.955)*(x-0.955)*(x-0.955)+790.3777312073103*(x-0.955)*(x-0.955)+0.0*(x-0.955)+0.9472401142120361
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.965,0.975,-74543.70211395605*(x-0.965)*(x-0.965)*(x-0.965)+860.8148000305885*(x-0.965)*(x-0.965)+5.146814633575073*(x-0.965)+0.9907420873641968
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.975,0.985,149105.77410153384*(x-0.975)*(x-0.975)*(x-0.975)-2377.4407976559633*(x-0.975)*(x-0.975)+0.0*(x-0.975)+1.0537480115890503
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.985,0.9925,11741.190904898282*(x-0.985)*(x-0.985)*(x-0.985)+55.71718383050131*(x-0.985)*(x-0.985)-2.8170837226590733*(x-0.985)+0.9651097059249878
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.9925,1.0025,-6500.712462833762*(x-0.9924999999999999)*(x-0.9924999999999999)*(x-0.9924999999999999)+448.5254628317672*(x-0.9924999999999999)*(x-0.9924999999999999)+0.0*(x-0.9924999999999999)+0.9520689845085144
3,iterativefit,central,2,0.0,2.5,50.0,70.0,1.0025,1.1,0.9904208183288574
3,iterativefit,central,2,0.0,2.5,70.0,100.0,-15.0,0.0,1.1642969846725464
3,iterativefit,central,2,0.0,2.5,70.0,100.0,0.0,0.075,1.312158465385437
